"DIVISÃO DO FABRICANTE";"SERVERIDADE DO FABRICANTE";"CATEGORIA DO FABRICANTE";"NOME DO EVENTO";"THRESHOLD";"IMPACTO";"AÇÃO RECOMENDADA";"ZABBIX TRIGGER";"FAMÍLIA DO EQUIPAMENTO";"AUTENTICAÇÃO INICIAL/RENOVAÇÃO";"POLÍTICA DE REDIRECIONAMENTO";"COMANDO CURL POSSÍVEL";"OBSERVAÇÕES PARA USO"
"Hardware";"Critical";"Cluster";"Cluster Down";">5m";"Outage";"Failover/repair";"last(/host/controller.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/basicSystemInfo/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Pode ser usado como disponibilidade básica; validar também health do system no /apidocs."
"Hardware";"Degraded (cluster)";"Controller";"Controller Down";">5m";"Outage";"Failover/repair";"last(/host/controller.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/storageProcessor/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Hardware";"Critical";"Disk";"Multiple Disk Failure";"1 failed";"Data risk";"Replace disk";"last(/host/disks.failed)>1";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/disk/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Hardware";"Critical";"PSU";"Power Supply Failure";"Any";"Redundancy loss";"Replace PSU";"last(/host/psu.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/powerSupply/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Hardware";"Degraded";"Fan";"Fan Failure";"Any";"Cooling reduced";"Replace fan";"last(/host/fan.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/fan/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado. Se fan não estiver exposto, usar alert/DAE/DPE aplicável."
"Hardware";"Major";"Temperature";"High Temp";">40C";"Stress";"Check cooling";"avg(/host/temp,10m)>40";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/alert/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Filtrar alertas de temperatura; validar se a versão expõe sensor físico dedicado."
"Performance";"Major";"Latency";"SMB latency";">20 ms";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs."
"Performance";"Major";"Latency";"NFS latency";">20 ms";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs."
"Performance";"Major";"Latency";"NFS retransmissions";">1% of calls";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs. Se não houver métrica no array, coletar no cliente NFS."
"Performance";"Major";"Latency";"CPU utilization";">80%";"Slow apps";"Tune workload";"avg(/host/cpu,15m)>80";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs."
